Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,972.077176,11664.93,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Not selected (0 TB per month) 
, DT Intra-Region: (0 TB per month) 
, Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 1, Peak: 8, Duration of peak: 8 Hr 30 Min)), Data transfer cost (0), Advance EC2 instance (c4.2xlarge), Pricing strategy (On-Demand and Reserved 1 Year  None upfront)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,162.160343,1945.92,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 1, Peak: 8, Duration of peak: 8 Hr 30 Min)), Data transfer cost (0), Advance EC2 instance (t3.medium), Pricing strategy (On-Demand and Reserved 1 Year  None upfront)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4073.276,48879.31,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1024 GB), Instance type (db.m5.12xlarge)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1500.38,18004.56,USD,S3 Standard storage (60 TB per month)
My Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,664.48,7973.76,USD,S3 Infrequent Access storage (50 TB per month)
My Estimate,US East (N. Virginia),,S3 Glacier,0,213.3,2559.60,USD,S3 Glacier storage (50 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Amazon Cloud Front (0 GB per month) 
, Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,630.8299999999999,7569.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,630.8399999999999,7570.08,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (5 GB per month), Processed bytes per NLB for TLS (100 TB per month)"
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,630.8299999999999,7569.96,USD,Number of Application Load Balancers (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
